Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
4/15;2/5;[[0,0],[1,0],[5,12],[6,12],[-4,-11],[-5,-13]]
2/3;2/3;[[0,0],[2,0],[0,1],[7,1],[9,2],[10,3],[1,2],[4,3]]
5/14;1/2;[[0,0],[1,0],[2,5],[2,11],[-1,-9],[3,13],[3,12],[1,8]]
2/3;2/3;[[0,0],[1,0],[1,10],[2,9],[2,10],[0,8],[-1,3],[-1,4]]
4/13;2/5;[[0,0],[1,0],[8,11],[0,-1],[7,11],[5,5],[8,9]]
1/3;2/5;[[0,0],[1,0],[2,3],[5,1],[8,3],[10,5]]
1/2;1/2;[[0,0],[2,0],[0,1],[4,2],[1,3],[6,6],[5,7],[6,7]]
7/25;2/5;[[0,0],[1,0],[9,14],[10,14],[10,15],[6,7],[8,10]]
5/18;2/5;[[0,0],[1,0],[1,3],[6,10],[6,6]]
2/7;2/5;[[0,0],[1,0],[0,3],[-4,9],[-6,14],[-3,11]]
2/3;2/3;[[0,0],[1,0],[0,1],[-9,9],[-15,13],[-4,3],[-12,10]]
7/24;2/5;[[0,0],[1,0],[3,16],[-1,-12],[3,13],[4,21],[4,20]]
6/17;2/5;[[0,0],[1,0],[0,3],[-6,1],[-3,4],[-1,5]]
2/5;2/5;[[0,0],[2,0],[3,5],[4,3],[-1,3],[4,4],[0,5]]
7/22;1/2;[[0,0],[1,0],[9,11],[14,17],[19,22]]
2/3;2/3;[[0,0],[2,0],[0,1],[-8,1],[-12,3],[-6,3]]
2/3;2/3;[[0,0],[1,0],[0,11],[-1,10],[-1,11],[2,2],[2,3]]
1/2;1/2;[[0,0],[1,0],[3,5],[-5,-11],[-2,-7],[-4,-7],[-3,-9],[-5,-9]]
11/27;2/3;[[0,0],[1,0],[8,9],[9,7],[11,9]]
1/2;1/2;[[0,0],[2,0],[0,1],[5,-3],[7,-7],[4,-6],[5,-7]]
5/24;1/3;[[0,0],[1,0],[7,16],[5,13],[-4,-11]]
14/33;2/3;[[0,0],[1,0],[1,5],[-2,5],[0,11]]
5/12;2/3;[[0,0],[1,0],[3,6],[8,13],[10,19]]
1/4;1/2;[[0,0],[1,0],[0,7],[-1,5],[3,10]]
4/15;2/5;[[0,0],[1,0],[9,14],[-9,-16],[-7,-13],[10,15]]
3/10;2/5;[[0,0],[1,0],[3,4],[5,5],[10,13],[12,14],[14,18]]
3/7;3/7;[[0,0],[1,0],[7,15],[6,14],[-3,-9],[3,8]]
2/3;2/3;[[0,0],[1,0],[3,5],[0,3],[3,11],[1,7],[2,10]]
2/3;2/3;[[0,0],[2,0],[2,7],[0,4],[3,6],[3,7],[1,-4]]
1/4;1/2;[[0,0],[1,0],[8,9],[8,8],[1,2],[3,5],[6,9]]
21/116;1/2;[[0,0],[2,0],[3,7],[-1,-12]]
1/2;1/2;[[0,0],[2,0],[6,7],[7,8],[6,3],[7,4]]
9/28;1/2;[[0,0],[1,0],[7,10],[-7,-11],[11,15],[8,10],[12,16]]
5/17;2/5;[[0,0],[1,0],[8,13],[7,10],[-6,-11],[-7,-12],[-8,-14]]
1/3;2/5;[[0,0],[1,0],[7,12],[8,12],[4,7],[-2,-5],[-4,-8],[-5,-9]]
2/3;2/3;[[0,0],[1,0],[2,13],[-1,-15],[2,12],[0,-10],[-1,-19]]
8/19;2/3;[[0,0],[1,0],[2,13],[3,12],[2,4],[3,19]]
2/3;2/3;[[0,0],[1,0],[0,1],[8,-10],[10,-11],[1,-3]]
23/130;2/5;[[0,0],[1,0],[3,13],[4,13],[-1,-7],[-2,-9]]
32/259;2/5;[[0,0],[2,0],[3,7],[-5,-12]]
1/4;2/5;[[0,0],[1,0],[3,14],[3,8],[5,18]]
1/3;2/5;[[0,0],[1,0],[3,5],[-1,1],[4,9],[-1,2],[0,5]]
